"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. DAY 
 28-Nov-2024","1W AGO 
 22-Nov-2024","1M AGO 
 30-Oct-2024","1Y AGO 
 30-Nov-2023"
NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE),887.6,0.05,887.11,888.13,887.11,887.07,884.09,887.38,864.29
NIFTY 4-8 YR G-SEC INDEX,"2,963.36",0.03,"2,962.78","2,963.65","2,962.31","2,961.95","2,953.76","2,948.11","2,711.14"
NIFTY 11-15 YR G-SEC INDEX,"3,037.85",0.04,"3,037.12","3,038.73","3,036.20","3,036.57","3,023.25","3,027.42","2,723.81"
NIFTY 15 YR AND ABOVE G-SEC INDEX,"3,350.15",-0.01,"3,351.28","3,353.78","3,346.54","3,350.86","3,339.91","3,359.24","2,959.00"
NIFTY COMPOSITE G-SEC INDEX,"2,838.55",0.04,"2,837.74","2,839.53","2,837.33","2,837.15","2,826.23","2,826.24","2,568.15"
NIFTY BHARAT BOND INDEX - APRIL 2025,"1,281.35",0.01,"1,281.32","1,281.36","1,281.32","1,281.18","1,279.72",-,-
NIFTY BHARAT BOND INDEX - APRIL 2030,"1,441.32",0.01,"1,441.33","1,441.33","1,441.32","1,441.02","1,440.29",-,-
NIFTY BHARAT BOND INDEX - APRIL 2031,"1,314.03",0.01,"1,314.02","1,314.03","1,314.02","1,313.77","1,314.32",-,-
NIFTY BHARAT BOND INDEX - APRIL 2032,"1,199.57",0.01,"1,199.57","1,199.57","1,199.57","1,199.34","1,202.11",-,-
NIFTY BHARAT BOND INDEX - APRIL 2033,"1,168.82",0.01,"1,168.82","1,168.82","1,168.82","1,168.59","1,170.36",-,-
